Id,SalePrice
1461,101988.88396477056
1462,156030.98950928525
1463,166828.18092226805
1464,195834.9094565634
1465,216110.82915794168
1466,177025.60111741524
1467,154541.6659552051
1468,171035.5801105476
1469,202621.42419073556
1470,101559.2741697901
1471,220620.31270520118
1472,115026.00487889202
1473,106923.61979969034
1474,181467.33559012887
1475,129081.35215153093
1476,338932.03814641695
1477,247510.57847487958
1478,297123.5776915437
1479,291328.55359602364
1480,382036.47948254365
1481,288801.2315969456
1482,237811.78515358132
1483,196419.04055566934
1484,199493.67343377532
1485,213758.7944050209
1486,230246.19551573205
1487,296117.612811701
1488,261403.98874279181
1489,204796.2551792569
1490,216927.0657673887
1491,214759.18101153194
1492,100664.05202225236
1493,193102.5472288074
1494,282799.6847078293
1495,280072.78955456725
1496,231052.82110008635
1497,215773.4164903785
1498,192017.0513372565
1499,192170.62386450576
1500,180682.548484459
1501,193101.7884058444
1502,185602.20287144798
1503,252550.96826667065
1504,249007.58568683648
1505,230513.91787756048
1506,181675.11270725462
1507,236859.29097840312
1508,190721.65453486072
1509,160295.2976937859
1510,133700.40104375198
1511,132369.59973954567
1512,166884.26033692373
1513,166846.83454680484
1514,145698.58053275215
1515,239075.55327000146
1516,163669.96680479718
1517,165494.13890380197
1518,152757.568014709
1519,218873.35729713365
1520,115663.75835306532
1521,119308.99670806527
1522,189152.74812236486
1523,104388.08111247252
1524,92143.90018652407
1525,104535.9911602106
1526,106386.92758106197
1527,103463.95658312915
1528,131852.95210926948
1529,128552.00504530317
1530,170730.99680652822
1531,146052.77406272767
1532,97714.36360318174
1533,154369.05735315985
1534,114194.83372653282
1535,168814.84297696
1536,112892.17358914006
1537,77319.28709705087
1538,198732.3615505253
1539,240427.2484627138
1540,124697.11968615657
1541,148007.16549384446
1542,137502.02407095968
1543,210537.00394368373
1544,90813.25970799371
1545,114902.00662736512
1546,156786.0456920744
1547,162393.85668735337
1548,130853.29799803777
1549,111862.07550794675
1550,145259.59117433944
1551,129668.11122124146
1552,146663.33324661793
1553,161779.2667458215
1554,127363.73866981559
1555,170797.87478634526
1556,104114.36250290404
1557,92681.31377847891
1558,106163.52854049414
1559,109488.27578344916
1560,148219.03940666094
1561,118690.52540481191
1562,126539.55699502768
1563,102296.0447253815
1564,169911.54170765996
1565,158653.71339675447
1566,221355.1474295488
1567,84540.31597886962
1568,210517.66845951203
1569,103994.42067659587
1570,156667.59104613654
1571,132321.37938416412
1572,122556.98041296784
1573,245928.0274552353
1574,136902.44777720558
1575,234650.36705383236
1576,239982.98434029397
1577,205182.51355726505
1578,142800.30303259703
1579,127503.14973504395
1580,195063.1594619614
1581,134046.3052363706
1582,114952.23449275653
1583,282794.3765765357
1584,246394.9075834969
1585,168260.46525086914
1586,65517.08536583811
1587,105384.8224854294
1588,121505.87224696872
1589,86572.93142553492
1590,143177.89333032235
1591,80915.16031385194
1592,120626.78484869977
1593,130606.93947031988
1594,151549.85856129267
1595,128734.8389309564
1596,225008.7570487118
1597,171748.9822179909
1598,199016.94179908084
1599,213127.93152388907
1600,222212.0969482541
1601,37234.74851370216
1602,116918.26021297422
1603,64898.64539759969
1604,253318.19893095075
1605,263090.0776673588
1606,182248.82723708125
1607,197122.1403619516
1608,234644.85569465658
1609,204564.81147417755
1610,146740.07953282207
1611,149262.48564006228
1612,173819.28516917108
1613,162533.6542207099
1614,120700.76758299088
1615,83115.048220293
1616,83115.048220293
1617,94460.13247207392
1618,108867.7089878392
1619,132954.99565526706
1620,188794.25265242378
1621,132961.19142378043
1622,127895.64797448245
1623,271494.54418239824
1624,221620.87309620043
1625,112760.24647633245
1626,173154.8090607756
1627,179218.88633751194
1628,279102.28697670344
